|    Прізвище     |      Ім‘я      |Вік|Група крові|    Звання  |         Боєкомплект          |  
        Матеїч	       Андрій	 30	  O+	           Майор	             Пістолет, М4
          Ярич	      Ярослав	 21	  A+	         Сержант	                    АК-47
   Капітоненко	         Юрій	 33	  B+	          Солдат	          АК-74, Пістолет
      Ткаченко	      Ярослав	 37	  A+	    Підполковник	          Гранатомет, М16
       Луценко	        Євген	 18	  O+	          Рекрут	                      М16
    Гончаренко	      Ярослав	 36	  O+	         Сержант	          Гранатомет, М16
      Ткаченко	      Віталій	 29	  O-	           Майор	                      ПКМ
        Негрич	      Альберт	 52	 AB+	       Лейтенант	               Гранатомет
         Хіміч	      Віталій	 29	  A-	          Солдат	          Гранатомет, М16
        Дімнич	      Андріан	 42	  A-	          Рекрут	                   АК-101
       Бабенко	       Степан	 42	  B+	           Майор	          АК-74, Пістолет
       Ращенко	        Орест	 39	  A-	          Рекрут	                    АК-47
    Посвятенко	    Ростислав	 61	  A-	          Рекрут	          Гранатомет, ПКМ
      Петренко	       Максим	 64	  B+	       Лейтенант	                      М16
    Дем'яненко	        Вадим	 21	  O-	         Сержант	          АК-74, Пістолет
          Соїч	         Гліб	 21	  A-	          Солдат	                      АКМ
       Кулініч	     Валентин	 45	  A+	         Капітан	          Гранатомет, ПКМ
         Стоїч	    Святослав	 19	  B+	          Солдат	          Гранатомет, ПКМ
         Янків	       Микола	 21	  B+	           Майор	        Гранатомет, АК-47
       Ульєнко	      Віталій	 29	  O+	          Рекрут	                         
       Місярич	     Анатолій	 53	  O-	          Рекрут	                       М4
       Косенко	       Сергій	 35	  B-	         Сержант	               Гранатомет
       Кузьмич	      Віталій	 49	  B+	         Сержант	             Пістолет, М4
    Бондаренко	      Любомир	 43	  O-	           Майор	                      ПКМ
   Петрушинець	        Євген	 22	  A-	    Підполковник	                      М16
       Ульєнко	      Віталій	 55	  O-	           Майор	        Гранатомет, АК-47
      Клименко	    В'ячеслав	 39	  A+	         Капітан	                    АК-47
     Василенко	        Артур	 60	  B-	    Підполковник	                 Пістолет
     Коваленко	      Ярослав	 37	  O-	          Рекрут	                      ПКМ
        Дарвай	       Максим	 19	  O-	         Капітан	Гранатомет, АК-47, Пістолет
     Коваленко	        Вадим	 36	 AB-	    Підполковник	                      М16
         Хіміч	         Еріх	 48	  B+	    Підполковник	                         
         Стоїч	    Володимир	 22	  A+	          Рекрут	          АК-74, Пістолет
        Поприч	     Мирослав	 52	  B+	          Рекрут	               Гранатомет
   Капітоненко	       Василь	 56	  B-	         Сержант	        Гранатомет, АК-47
        Негрич	         Юрій	 24	  O+	           Майор	             Пістолет, М4
     Кириленко	     Валентин	 38	 AB+	         Капітан	                         
       Пелиньо	     Валентин	 53	  B-	           Майор	                       М4
    Вдовиченко	        Арсен	 24	  B+	         Капітан	                    АК-47
       Кузьмич	      Любомир	 22	 AB-	          Рекрут	                      АКМ
